apartment_id,apartment_name,apartment_address,school_count
2519,신일라이프(B동),서울특별시 도봉구 쌍문동 277-5,15
3366,신일해피트리,서울특별시 양천구 신정동 1219-1,15
2927,신천빌리지,서울특별시 중랑구 신내동 495-42,15
2490,쌍문금용,서울특별시 도봉구 쌍문동 321,15
2700,쌍용노블래스,서울특별시 송파구 가락동 29-16,15
2680,쌍용스윗닷홈(104동),서울특별시 송파구 가락동 52,15
4422,아데나,서울특별시 관악구 신림동 534-1,15
3553,암사동한솔,서울특별시 강동구 암사동 419,15
2509,에덴,서울특별시 도봉구 쌍문동 713,15
348,에스케이뷰,서울특별시 서대문구 합동 118,15
3478,예인,서울특별시 구로구 고척동 215-3,15
467,오투힐,서울특별시 양천구 신월동 541-1,15
1291,온누리,서울특별시 영등포구 대림동 1120,15
4258,올림푸스,서울특별시 강서구 화곡동 1101-8,15
4300,우공팰리스101동,서울특별시 강서구 화곡동 1026-27,15
927,우성101동,서울특별시 강동구 명일동 356,15
938,우성103동,서울특별시 강동구 명일동 312-165,15
