apartment_name,school_name,distance_meters,distance_km
거여2단지효성아파트,거원중학교,284.69681417,0.28
거여4단지,서울거원초등학교,205.69081347,0.21
거여5단지,서울거원초등학교,140.31547392,0.14
거평빌라트,서울역삼초등학교,451.23588535,0.45
거평프리젠,서울논현초등학교,266.43133277,0.27
건양노블레스빌,서울한천초등학교,465.29565597,0.47
건양하늘터,서울혜화초등학교,232.10064729,0.23
건영,개봉중학교,286.3368016,0.29
건영(103동-106동),서울영본초등학교,405.44061898,0.41
건영1,문현중학교,255.56075139,0.26
건영2,대진여자고등학교,137.22837773,0.14
건영2차,서울중화초등학교,172.6860014,0.17
건영2차아파트,서울중화초등학교,229.90339945,0.23
건영3,서울을지초등학교,237.03302764,0.24
건영4,신관중학교,120.99006624,0.12
건영6,서울청룡초등학교,65.37552954,0.07
건영아파트,서울공연초등학교,383.46992166,0.38
건영월드컵,성사중학교,114.53446414,0.11
건영장미아파트,서울동산고등학교,220.91574015,0.22
건영캐스빌,상봉중학교,145.96362078,0.15
건우그린,서울창서초등학교,501.45064167,0.50
건우샹그리라,서울역촌초등학교,398.01441054,0.40
건우한마음,국립전통예술고등학교,288.82483719,0.29
건우한마음,국립전통예술중학교,288.82483719,0.29
건원베스트원,서울면목초등학교,306.64852766,0.31
건일팰리스,추계초등학교,329.98452862,0.33
건일팰리스,중앙여자중학교,329.98452862,0.33
건일팰리스,중앙여자고등학교,329.98452862,0.33
건진,서울정목초등학교,127.95432276,0.13
경남,서울신자초등학교,331.58411629,0.33
경남1,구룡중학교,279.47498265,0.28
경남102동,한성중학교,326.49516514,0.33
경남102동,한성고등학교,326.49516514,0.33
경남2,서울덕의초등학교,191.11527766,0.19
경남2차,구룡중학교,279.47498265,0.28
경남교수,대방중학교,76.60491891,0.08
경남논현,서울학동초등학교,186.75391638,0.19
경남레이크파크,서울송파초등학교,577.16453643,0.58
경남아너스빌,광양고등학교,111.47020273,0.11
경남아너스빌(1356-0),창문여자고등학교,192.74684508,0.19
경남아너스빌(1356-0),창문여자중학교,192.74684508,0.19
경남아너스빌(1608-8),서울서일초등학교,374.77733918,0.37
경남아너스빌(대아3),서울삼일초등학교,206.4486507,0.21
경남아너스빌1차,사당중학교,84.43910884,0.08
경남아너스빌201동,서초중학교,478.64243891,0.48
경남아너스빌2차,사당중학교,82.2120458,0.08
경남아파트,서울시흥초등학교,191.15812659,0.19
경덕,서울삼전초등학교,85.77323364,0.09
경동미주,성일중학교,334.05270237,0.33
경동엠파이어스테이트,서울등서초등학교,388.13313864,0.39
경동윈츠리버,서울본동초등학교,106.38835807,0.11
경동팰리스힐,서울방화초등학교,337.93078204,0.34
경보그레이스힐,한산중학교,499.71521587,0.50
경성B,서울구로남초등학교,319.01702466,0.32
경성빌라,서울구로남초등학교,258.81512256,0.26
경원,서울신내초등학교,161.5520808,0.16
경원로얄시티,관악중학교,292.14209265,0.29
경원시티,서울원당초등학교,99.54165285,0.10
경원파발리안,서울녹번초등학교,295.0410339,0.30
경일역삼,도곡중학교,495.62353712,0.50
경지리버캐슬,서울신암초등학교,126.74662451,0.13
경향렉스빌,국사봉중학교,271.12257318,0.27
